fun,run,time,iter,score,x
gf2,1,2.6226043701171875e-06,0,0.19999999999999996,[1.2 1.2 1.2]
gf2,1,0.0011217594146728516,1,0.6888888888888888,[0.06666667 0.5372549  1.67058824]
gf2,1,0.00212860107421875,2,1.4093474236759558,[ 0.22426417  2.4131978  -1.03910864]
gf2,1,0.0031054019927978516,3,26.975641110638843,[  2.31757104 -67.19231921  12.41703309]
gf2,1,0.004071712493896484,4,398650.0089523988,[-6.57202228e+02  1.18645319e+06  8.84063415e+03]
gf2,1,0.005037069320678711,5,2.1831851613729866e+18,[-1.94464508e+09 -6.54955272e+18  2.76013955e+12]
gf2,1,0.006028652191162109,6,3.6725988353246006e+56,[7.87863211e+28 1.10177965e+57 8.41110605e+37]
gf2,1,0.0070497989654541016,7,1.7483275672163955e+171,[-1.57742720e+087 -5.24498270e+171  2.38023215e+114]
gf2,1,0.00811910629272461,8,inf,[1.5424897e+262            inf            inf]
gf2,1,0.009172677993774414,9,,[nan nan nan]
gf2,1,0.010178804397583008,10,,[nan nan nan]
gf2,1,0.01116323471069336,11,,[nan nan nan]
gf2,1,0.012131929397583008,12,,[nan nan nan]
gf2,1,0.013104915618896484,13,,[nan nan nan]
gf2,1,0.01408839225769043,14,,[nan nan nan]
gf2,1,0.015055656433105469,15,,[nan nan nan]
gf2,1,0.016031503677368164,16,,[nan nan nan]
gf2,1,0.017009973526000977,17,,[nan nan nan]
gf2,1,0.018002033233642578,18,,[nan nan nan]
gf2,1,0.01897430419921875,19,,[nan nan nan]
gf2,1,0.019949913024902344,20,,[nan nan nan]
gf2,1,0.02092266082763672,21,,[nan nan nan]
gf2,1,0.02190709114074707,22,,[nan nan nan]
gf2,1,0.022881746292114258,23,,[nan nan nan]
gf2,1,0.023853540420532227,24,,[nan nan nan]
gf2,1,0.024824857711791992,25,,[nan nan nan]
gf2,1,0.02581024169921875,26,,[nan nan nan]
gf2,1,0.026787281036376953,27,,[nan nan nan]
gf2,1,0.02776312828063965,28,,[nan nan nan]
gf2,1,0.02873516082763672,29,,[nan nan nan]
gf2,1,0.02971935272216797,30,,[nan nan nan]
gf2,1,0.03069758415222168,31,,[nan nan nan]
gf2,1,0.03167128562927246,32,,[nan nan nan]
gf2,1,0.03264498710632324,33,,[nan nan nan]
gf2,1,0.03363037109375,34,,[nan nan nan]
gf2,1,0.034632205963134766,35,,[nan nan nan]
gf2,1,0.03562116622924805,36,,[nan nan nan]
