"","","","","","","MU","SD"
"x1",6.8189714984578,6.25835029746854,6.75609073202164,9.33796041700154,10.5708589724895,7.9484463834878,1.89483820758927
"x2",5.76803185771951,6.21751778770425,20.2683553289118,24.7399218481281,8.42124054290513,13.0830134730738,8.80182884889444
"x3",7.19191812875193,9.7079697038388,26.9487514527917,6.02555861381523,11.600980187153,12.2950356172701,8.47428700197249
"x4",32.3431437822866,13.0063532190866,6.81889620167864,6.49627827095607,21.0879229899113,15.9505188927838,10.9149940660477
"x5",7.43770699385364,7.46323821036381,7.57665665471757,12.6585857272211,8.70900395313373,8.76903830785797,2.23782898253148
"x6",6.19934756168095,5.893950543317,9.0461969499838,9.48694665383547,13.7327110320508,8.8718305481736,3.16412962678841
"x7",13.8156054109989,6.95826225538886,11.4794789834086,20.9364971653354,8.69005764772144,12.3759802925707,5.45656436510298
"x8",7.89819860450988,6.21220068951336,7.75911416603713,33.8286989933993,9.17937257362815,12.9755170054176,11.7046826087549
"x9",15.6012839262122,10.583014873853,9.85201605780681,7.339555151136,16.9564405750538,12.0664621168124,4.05755132682641
"x10",14.3191536164265,7.19812971139799,15.2811064920899,23.8679781819762,8.80577937095755,13.8944294745696,6.56334000265583
"x11",8.48877650999661,13.6507147269253,11.5559847249587,34.6078009266797,10.7640570466309,15.8134667870382,10.6674536806594
