"","alg","tune","x1","x2","x1","x2"
"4","HMC","TRUE",236.319139599421,394.829879287585,102.543825413162,174.715081104281
"5","MHS","TRUE",396.888444998404,414.982424523831,64.5890815998643,66.2428129560734
"2","MHS","FALSE",397.549572452146,446.529123709814,81.1186898593738,87.1518210139936
"1","HMC","FALSE",499.022618156027,507.773701279364,199.40328780042,130.486092912968
"6","RS","TRUE",541.2,541.2,11.3446022407134,11.3446022407134
"3","RS","FALSE",612.4,612.4,20.231164079212,20.231164079212
